Feature Extractor,Classifier,Accuracy,F1 Micro,F1 Macro
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
WordNet,Naive Bayes,0.7183098591549296,0.7183098591549296,0.7182539682539683
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
TF-IDF,Naive Bayes,0.7746478873239436,0.7746478873239436,0.7742448330683624
BoW,Naive Bayes,0.7605633802816901,0.7605633802816902,0.7605633802816902
Combined Features,Naive Bayes,0.7464788732394366,0.7464788732394367,0.7460254372019077
